"Code","Country","Zone"
"AL","Albania","EUR2"
"AD","Andorra","EUR2"
"AT","Austria","EUR1"
"BY","Belarus","EUR2"
"BE","Belgium","EUR1"
"BA","Bosnia and Herzegovina","EUR2"
"BG","Bulgaria","EUR2"
"","Canary Islands","EUR2"
"","Channel Islands","EUR2"
"HR","Croatia","EUR2"
"CY","Cyprus","EUR2"
"CZ","Czech Republic","EUR2"
"DK","Denmark","EUR1"
"EE","Estonia","EUR2"
"FO","Faroe Islands","EUR2"
"FI","Finland","EUR2"
"FR","France","EUR1"
"DE","Germany","EUR1"
"GI","Gibraltar","EUR2"
"GR","Greece","EUR2"
"GL","Greenland","EUR2"
"HU","Hungary","EUR2"
"IS","Iceland","EUR2"
"IE","Ireland","EUR2"
"IT","Italy","EUR1"
"","Kosovo","EUR2"
"LV","Latvia","EUR2"
"LI","Liechtenstein","EUR2"
"LT","Lithuania","EUR2"
"LU","Luxembourg","EUR1"
"MC","Macedonia","EUR2"
"MT","Malta","EUR2"
"","Moldavia","EUR2"
"ME","Montenegro","EUR2"
"NO","Norway","EUR2"
"NL","Netherlands","NL"
"PL","Poland","EUR2"
"RO","Romania","EUR2"
"PT","Portugal","EUR2"
"SM","San Marino","EUR2"
"CS","Serbia","EUR2"
"SK","Slovakia","EUR2"
"SL","Slovenia","EUR2"
"ES","Spain","EUR1"
"SE","Sweden","EUR1"
"CH","Switzerland","EUR2"
"TR","Turkey","EUR2"
"UA","Ukraine","EUR2"
"GB","United Kingdom","EUR1"
"VA","Vatican City","EUR2"
